Pirai,,Rurrenabaque,,portachuelo2estrellas,
490.2339242,886.8553438,509.3549848,700.0245057,716.0494315,1525.05705
490.9364568,887.8273438,510.208857,700.0808174,719.2633574,1527.183826
491.5946473,889.5713438,511.0367747,700.6578264,722.4102645,1534.653198
494.5864457,890.8603438,511.8493948,703.5965664,725.4908973,1535.949818
495.4744818,895.5923438,512.6569687,706.5854184,728.5127025,1536.267397
496.0562737,895.5923438,513.4495397,708.0166864,731.4838712,1536.682029
496.558905,895.5923438,514.247083,709.2384554,734.4051482,1538.260056
497.0522044,895.5923438,515.0346938,710.3774684,737.2668528,1538.550215
497.5455038,895.5923438,515.8322371,710.4673528,740.0607939,1539.136712
497.9964712,895.5923438,516.6601549,710.6349354,742.8115451,1540.301119
498.4457739,895.5923438,517.4727749,710.6694729,745.5295316,1540.762054
498.8567883,895.5923438,518.2554502,710.9561701,748.2221998,1542.089096
499.2678028,895.5923438,519.0283281,715.3118001,750.8895497,1542.721667
499.6788173,895.5923438,519.8874674,717.4942621,753.5204117,1547.353114
500.0898317,895.5923438,520.8455506,718.3967691,756.1110623,1562.498264
500.4647594,895.5923438,521.8384282,718.9084761,758.6652249,1568.6653
500.838118,895.5923438,522.7794581,719.2423101,761.1694957,1568.962438
501.2114767,895.5923438,523.6598865,719.3370635,763.6305766,1568.9686
501.6563117,895.5923438,524.4981173,719.4102105,766.0380424,1568.99003
512.1283205,942.5093438,525.3006698,719.4894209,768.3546604,1569.06251
514.0970914,946.9043438,526.0784341,719.5228529,770.601281,1569.136739
515.7197132,946.9043438,526.8367878,719.5752167,772.7942865,1569.426273
517.4734946,949.0633438,527.5760991,719.6043144,774.9374002,1571.022334
520.2156079,954.6743438,528.2967242,719.6536282,777.0268988,1571.939121
521.2963531,965.7113438,529.0127329,719.7026452,779.0650163,1571.976096
522.028194,965.7113438,529.7150278,722.1828852,781.0502634,1572.1461
522.7158434,965.7113438,530.4218775,722.4474418,782.9878526,1572.932633
523.3554385,965.7113438,531.1706671,722.4618178,784.8815073,1572.969036
523.951242,965.7113438,531.9194566,722.5062178,786.731972,1573.389369
524.4932793,965.7113438,532.6447226,722.6897645,788.9115737,1573.669017
525.0313719,965.7113438,533.3470174,722.8554764,791.0747931,1575.382841
525.5302704,965.7113438,534.0402883,727.6469144,793.2208854,1578.907331
526.0235698,965.7113438,534.7335592,729.2554784,795.3505953,1581.213851
526.5168692,965.7113438,535.4223488,737.8943584,797.4631782,1581.613457
527.0101686,965.7113438,536.1201255,739.7655044,799.558634,1582.162885
527.5333302,965.7113438,536.9176689,739.8353691,801.6377075,1583.298876
528.0322287,965.7113438,537.8530634,740.1786861,803.6996539,1586.22662
528.5255281,965.7113438,538.6066289,740.3006766,805.745218,1588.973628
529.0188275,965.7113438,539.2733191,740.4862756,807.773655,1591.180544
529.5121269,965.7113438,539.9099787,740.5145438,809.7849649,1592.615615
530.1419663,967.8393438,540.5382527,740.5494278,811.7798925,1593.32007
530.6352657,970.1423438,541.158215,744.3340578,813.757693,1593.59487
531.1285651,970.1423438,541.7618113,747.7327678,815.7191112,1594.395632
531.6218645,970.1423438,542.3573414,753.5245378,817.6634023,1594.426875
532.1151639,970.1423438,542.9690778,754.035338,819.5913111,1594.451315
532.7013073,970.1423438,543.6270878,756.127206,821.5020928,1596.250133
533.3787086,975.1763438,544.3999657,757.215215,823.3957474,1597.092343
533.9246906,976.1663438,545.3753234,766.983375,825.2730197,1599.36562
534.5968142,976.8143438,546.3220132,773.826015,827.1331649,1599.82909
535.3996734,982.0633438,547.5994576,774.456193,828.9769278,1602.745758
536.122326,984.7573438,550.2946162,774.4936443,830.8035636,1605.424892
536.86073,987.2163438,551.8876524,774.5993199,832.6130724,1605.994175
537.6035094,988.0143438,552.9905483,774.6500722,834.4061988,1606.581866
538.2934559,988.4923438,553.8981589,775.3122892,836.1821981,1610.558339
538.9811052,988.4923438,554.7467887,775.7734363,837.9418151,1611.25202
539.6687546,988.4923438,555.529464,777.2502953,839.684305,1612.113308
540.356404,988.4923438,556.3886033,782.0022953,841.4096679,1613.739275
541.06243,988.8603438,557.2268341,784.8271913,843.1186485,1614.604481
541.8340871,990.9323438,557.999712,790.4945413,844.8105019,1614.751678
542.6724623,992.8393438,559.1282309,803.9813613,846.485973,1618.122779
543.4176482,992.8393438,560.0303535,816.5470213,848.1443171,1622.547588
544.1236743,992.8393438,561.3148942,816.7677102,849.7855341,1623.97421
544.908943,992.8393438,565.5954034,817.1727764,851.4103687,1624.008369
545.6998519,993.0193438,568.2540857,817.2532074,853.0180763,1625.490284
546.4426313,995.6743438,569.8638439,817.4513393,854.6094015,1625.490306
